emg_rms,emg_mav,emg_var,mmg_rms,mmg_var,ax_rms,ay_rms,az_rms,label
11489.5,9421.39,139022.95,194.0,1610.2,116.4,97.0,174.6,fist
13541.7,11104.19,163854.57,2476.0,20550.8,1485.6,1238.0,2228.4,fist
13083.5,10728.47,158310.35,2770.0,22991.0,1662.0,1385.0,2493.0,fist
11978.5,9822.37,144939.85,258.9,2148.87,155.34,129.45,233.01,fist
12142.5,9956.85,146924.25,144.8,1201.84,86.88,72.4,130.32,fist
12420.8,10185.06,150291.68,131.7,1093.11,79.02,65.85,118.53,fist
14159.2,11610.54,171326.32,670.0,5561.0,402.0,335.0,603.0,fist
14423.5,11827.27,174524.35,1304.3,10825.69,782.58,652.15,1173.87,fist
11410.8,9356.86,138070.68,215.8,1791.14,129.48,107.9,194.22,fist
12820.1,10512.48,155123.21,686.7,5699.61,412.02,343.35,618.03,fist
13321.9,10923.96,161194.99,3261.2,27067.96,1956.72,1630.6,2935.08,fist
12419.5,10183.99,150275.95,541.9,4497.77,325.14,270.95,487.71,fist
11705.7,9598.67,141638.97,185.5,1539.65,111.3,92.75,166.95,fist
12126.8,9943.98,146734.28,143.1,1187.73,85.86,71.55,128.79,fist
12558.6,10298.05,151959.06,580.5,4818.15,348.3,290.25,522.45,fist
13128.6,10765.45,158856.06,606.7,5035.61,364.02,303.35,546.03,fist
13543.1,11105.34,163871.51,499.3,4144.19,299.58,249.65,449.37,fist
13717.1,11248.02,165976.91,1501.9,12465.77,901.14,750.95,1351.71,fist
12337.5,10116.75,149283.75,582.2,4832.26,349.32,291.1,523.98,fist
11446.5,9386.13,138502.65,208.1,1727.23,124.86,104.05,187.29,fist
12080.6,9906.09,146175.26,190.6,1581.98,114.36,95.3,171.54,fist
12018.3,9855.01,145421.43,578.2,4799.06,346.92,289.1,520.38,fist
12403.0,10170.46,150076.3,1019.8,8464.34,611.88,509.9,917.82,fist
11861.3,9726.27,143521.73,2003.6,16629.88,1202.16,1001.8,1803.24,fist
11316.2,9279.28,136926.02,3337.1,27697.93,2002.26,1668.55,3003.39,fist
12755.1,10459.18,154336.71,324.5,2693.35,194.7,162.25,292.05,fist
12128.6,9945.45,146756.06,149.4,1240.02,89.64,74.7,134.46,fist
12461.7,10218.59,150786.57,111.0,921.3,66.6,55.5,99.9,fist
12926.6,10599.81,156411.86,257.9,2140.57,154.74,128.95,232.11,fist
13830.4,11340.93,167347.84,1675.4,13905.82,1005.24,837.7,1507.86,fist
13325.8,10927.16,161242.18,2222.0,18442.6,1333.2,1111.0,1999.8,fist
13210.8,10832.86,159850.68,3279.1,27216.53,1967.46,1639.55,2951.19,fist
12840.3,10529.05,155367.63,248.1,2059.23,148.86,124.05,223.29,fist
12737.1,10444.42,154118.91,122.3,1015.09,73.38,61.15,110.07,fist
12893.0,10572.26,156005.3,103.5,859.05,62.1,51.75,93.15,fist
12856.3,10542.17,155561.23,85.3,707.99,51.18,42.65,76.77,fist
12130.3,9946.85,146776.63,444.8,3691.84,266.88,222.4,400.32,fist
12745.4,10451.23,154219.34,1530.1,12699.83,918.06,765.05,1377.09,fist
12856.6,10542.41,155564.86,2338.4,19408.72,1403.04,1169.2,2104.56,fist
11912.3,9768.09,144138.83,2676.3,22213.29,1605.78,1338.15,2408.67,point
12765.5,10467.71,154462.55,199.1,1652.53,119.46,99.55,179.19,point
13384.5,10975.29,161952.45,131.4,1090.62,78.84,65.7,118.26,point
12711.5,10423.43,153809.15,140.9,1169.47,84.54,70.45,126.81,point
12563.2,10301.82,152014.72,210.1,1743.83,126.06,105.05,189.09,point
12190.1,9995.88,147500.21,899.4,7465.02,539.64,449.7,809.46,point
12209.6,10011.87,147736.16,1194.9,9917.67,716.94,597.45,1075.41,point
12928.6,10601.45,156436.06,1812.8,15046.24,1087.68,906.4,1631.52,point
14337.2,11756.5,173480.12,1981.7,16448.11,1189.02,990.85,1783.53,point
12775.1,10475.58,154578.71,234.4,1945.52,140.64,117.2,210.96,point
13143.5,10777.67,159036.35,123.4,1024.22,74.04,61.7,111.06,point
12298.0,10084.36,148805.8,121.8,1010.94,73.08,60.9,109.62,point
12435.5,10197.11,150469.55,106.4,883.12,63.84,53.2,95.76,point
13566.4,11124.45,164153.44,1305.3,10833.99,783.18,652.65,1174.77,point
13817.2,11330.1,167188.12,458.5,3805.55,275.1,229.25,412.65,point
12900.8,10578.66,156099.68,2437.9,20234.57,1462.74,1218.95,2194.11,point
13166.3,10796.37,159312.23,1106.3,9182.29,663.78,553.15,995.67,point
12562.0,10300.84,152000.2,255.7,2122.31,153.42,127.85,230.13,point
12398.8,10167.02,150025.48,121.8,1010.94,73.08,60.9,109.62,point
12586.6,10321.01,152297.86,115.3,956.99,69.18,57.65,103.77,point
